tau,beta,fx_cost,n_runs,avg_gap_before_mean,avg_gap_before_std,avg_gap_after_mean,avg_gap_after_std,max_gap_after_mean,max_gap_after_std,recovery_time_mean,recovery_time_std,vol_before_mean,vol_before_std,vol_after_mean,vol_after_std,final_gap_mean,final_gap_std,recovery_b_mean,recovery_b_std
0.0,0.0,0.0,20,4.390692000000004,1.9863398658617235,12.15257400000001,2.671673736306021,13.788050000000009,2.441145858532746,0.0,0.0,0.00021608406782167494,0.0004476702735975578,0.0004180631933058209,7.360686022717222e-05,12.19025000000001,0.19120170528858418,1.0,0.0
0.0,0.0,0.001,20,1.2279900000000012,0.8505461662645774,5.146783000000004,3.827523490043225,9.400300000000007,3.3434068521415976,3.6153846153846154,6.384074737689891,0.000569518576758544,0.00017794512178893827,0.008407660816159106,0.006869449347962306,6.424150000000003,4.777285171297058,1.0,0.0
0.0,0.0,0.003,20,1.2323100000000013,0.8465102591475822,5.299160000000004,4.162863766449858,9.82445000000001,2.7680116837865687,4.0,6.114295984380816,0.0005436218432598861,0.00015498779526350927,0.008380237454860556,0.006807740995922327,6.110650000000003,5.0438424917496185,1.0,0.0
0.0,0.0,0.005,20,1.2496300000000014,0.8522297646082369,5.283914000000004,4.150068105176619,9.55705000000001,3.4221832132042325,3.4615384615384617,6.23986357510302,0.0005695091137780377,0.0001530563351790761,0.007745360410902369,0.006955328004184601,6.226750000000003,4.995210483684929,1.0,0.0
0.0,0.0,0.01,20,1.292070000000001,0.8730923512375279,6.497779000000004,4.07363195474441,10.546300000000011,1.779557754050146,4.3,6.992853494818835,0.0005066801245120446,0.0001435923334519416,0.007348823032304742,0.00656249873283674,7.031350000000003,4.79295710583989,1.0,0.0
0.0,0.2,0.0,20,4.033178000000005,1.957381785752533,7.971218000000009,1.7090345357959154,10.457250000000007,2.391028426056564,0.0,0.0,0.00021608406782167494,0.0004476702735975578,0.00059123799810394,0.00016398680289481392,7.289550000000011,0.1271784800564706,31.157894736842106,27.495985884599264
0.0,0.2,0.001,20,1.2279900000000012,0.8505461662645774,3.6947260000000037,2.4881533386078285,7.529850000000008,2.360495716782256,4.375,5.60802995712398,0.000569518576758544,0.00017794512178893827,0.008113780139243633,0.006646379361434437,4.545800000000007,3.0747481813877697,3.55,1.6693837501494853
0.0,0.2,0.003,20,1.2323100000000013,0.8465102591475822,3.7992750000000037,2.6962895688305135,7.8996500000000065,2.1745552787929574,4.533333333333333,5.767726299562651,0.0005436218432598861,0.00015498779526350927,0.00807756133928434,0.006559128639617273,4.230400000000007,3.1606922859265882,3.35,1.725200217213551
0.0,0.2,0.005,20,1.2496300000000014,0.8522297646082369,3.7972990000000033,2.6815501282062923,7.517450000000008,2.3689501000054416,4.266666666666667,5.624775127780242,0.0005695091137780377,0.0001530563351790761,0.007490223394514046,0.006717031942103106,4.3288500000000045,3.106357848281325,3.6,1.5694450913417908
0.0,0.2,0.01,20,1.292070000000001,0.8730923512375279,4.640815000000004,2.6746158358115113,8.155500000000009,1.3005698548591782,6.083333333333333,6.2734408904572145,0.0005066801245120446,0.0001435923334519416,0.006968821266443466,0.006247378006693066,4.828250000000004,2.9207448018216966,4.0,1.7167901505579042
0.0,0.4,0.0,20,3.720908000000004,1.991008006575665,5.5168680000000085,1.1292256340547346,7.830550000000008,1.8526816545639724,10.666666666666666,26.127890589687233,0.00021608406782167494,0.0004476702735975578,0.0006851480045094884,0.00022255362371207795,5.0993500000000065,0.1183239420538282,61.5,58.436743074682646
0.0,0.4,0.001,20,1.2279900000000012,0.8505461662645774,2.8613580000000023,1.6736134367843958,6.1963000000000035,1.6182018968433378,5.625,5.572252686302013,0.000569518576758544,0.00017794512178893827,0.007943281477975985,0.006525133708804186,3.5590500000000036,2.2600998924127707,8.75,6.188911986686139
0.0,0.4,0.003,20,1.2323100000000013,0.8465102591475822,2.9152760000000026,1.8107145265028493,6.562400000000006,1.7988489126456184,5.333333333333333,5.576310437488044,0.0005436218432598861,0.00015498779526350927,0.007886450172057467,0.006418246722367401,3.267000000000002,2.274283230058722,8.55,6.541165194769443
0.0,0.4,0.005,20,1.2496300000000014,0.8522297646082369,2.941206000000002,1.7819090980666348,6.081700000000006,1.4702746646370837,5.733333333333333,5.560918046852473,0.0005695091137780377,0.0001530563351790761,0.007351484640831319,0.00659498712399154,3.373550000000003,2.2308798706717576,8.9,6.060224070896528
0.0,0.4,0.01,20,1.292070000000001,0.8730923512375279,3.515606000000003,1.7924992237314668,6.36275000000001,1.3328490211415136,8.461538461538462,6.666025610204136,0.0005066801245120446,0.0001435923334519416,0.006782074036917147,0.006096041893953499,3.720600000000002,2.0709340480997858,10.6,6.107803464249217
0.0,0.6,0.0,20,3.4709330000000045,2.0543699168693728,4.004948000000008,0.7021917492027533,5.578600000000008,1.1536631999623492,20.75,37.91626111766371,0.00021608406782167494,0.0004476702735975578,0.0006974887772268131,0.00021461701126345014,3.8971000000000062,0.08900792395239773,68.94117647058823,48.537962704767615
0.0,0.6,0.001,20,1.2279900000000012,0.8505461662645774,2.392091000000002,1.176932461532726,5.614350000000001,1.536074020797313,7.3125,5.884655186726462,0.000569518576758544,0.00017794512178893827,0.007859103449329405,0.006489907908346205,2.950100000000005,1.7803144577352235,11.9,8.795333691045618
0.0,0.6,0.003,20,1.2323100000000013,0.8465102591475822,2.393792000000002,1.2685647930161112,5.644250000000003,1.9780076599021497,6.733333333333333,5.687915343285355,0.0005436218432598861,0.00015498779526350927,0.007764806721128008,0.006360508020191157,2.6998000000000033,1.7782721537019006,11.75,9.374517531444933
0.0,0.6,0.005,20,1.2496300000000014,0.8522297646082369,2.4418750000000022,1.2302604325892739,5.353600000000004,1.3259536151290072,7.333333333333333,5.802298395176403,0.0005695091137780377,0.0001530563351790761,0.007280389283105612,0.0065585675159038044,2.7989000000000033,1.7320133675186145,12.15,8.77361475045911
0.0,0.6,0.01,20,1.292070000000001,0.8730923512375279,2.832164000000003,1.2209402122109398,5.404450000000002,1.4509328931850416,10.0,6.506407098647712,0.0005066801245120446,0.0001435923334519416,0.006712253894451073,0.006049641272909151,3.070900000000003,1.6055733489776745,14.75,8.813118212731458
0.1,0.0,0.0,20,4.484808000000002,2.496609117514982,11.542695000000009,2.9312111101969625,13.26500000000001,2.532667347824589,0.0,0.0,0.00011480675674658401,0.0001982090070017542,0.0004150936174192028,7.044998425922544e-05,12.19025000000001,0.19120170528858418,1.0,0.0
0.1,0.0,0.001,20,1.2207600000000014,0.7102788291635171,5.371952000000004,4.217977780742561,9.728350000000006,3.2708940718016803,5.3076923076923075,6.434083920608736,0.0005388279824195374,0.00014612846876742191,0.0075387651856697,0.006676260771654228,5.581800000000003,5.269170908516628,1.0,0.0
0.1,0.0,0.003,20,1.2444100000000007,0.7109133028051068,5.702363000000004,4.070413045805579,9.739400000000007,3.2817552812962454,9.25,12.5707090998371,0.0005204207698566774,0.00015243128937511075,0.007233927003893734,0.00656196074806241,5.9032500000000026,5.133548202241497,1.0,0.0
0.1,0.0,0.005,20,1.2598800000000006,0.743594044312381,5.9042040000000044,4.34033575938957,9.910000000000007,3.0692007531534826,3.6666666666666665,5.613835722137896,0.0005520839854153824,0.00020176570389172414,0.00636479077983818,0.006812319595599437,5.976900000000004,5.239448021349301,1.0,0.0
0.1,0.0,0.01,20,1.2911600000000005,0.7626417455135805,5.832209000000004,3.366109020490952,10.426400000000008,2.2620779780872695,5.4,8.809086218218097,0.0005549590615008075,0.00018653859103663926,0.0083462616269566,0.006757010509056776,6.365150000000004,4.47197289883277,1.0,0.0
0.1,0.2,0.0,20,4.2168860000000015,2.5111824299455736,7.616209000000009,1.822305209291099,9.863250000000013,2.61115697032641,0.0,0.0,0.00011480675674658401,0.0001982090070017542,0.0005729806290515548,0.00016025141260301123,7.289550000000011,0.1271784800564706,24.105263157894736,22.654150311053147
0.1,0.2,0.001,20,1.2207600000000014,0.7102788291635171,3.8643550000000033,2.6613957384395572,7.441950000000003,2.2656351375090846,5.714285714285714,5.979819542280667,0.0005388279824195374,0.00014612846876742191,0.007220995225446997,0.006353905437119514,3.7710500000000025,3.119497875839709,3.95,1.5035046776746235
0.1,0.2,0.003,20,1.2444100000000007,0.7109133028051068,4.108373000000004,2.5642985845463353,7.4363500000000045,2.301641319969185,7.857142857142857,10.71201441126984,0.0005204207698566774,0.00015243128937511075,0.006872713338930077,0.006283762634055894,4.0024000000000015,3.028952370566089,3.9,1.4473205733717958
0.1,0.2,0.005,20,1.2598800000000006,0.743594044312381,4.276718000000003,2.716897180852108,7.668250000000006,2.1373892799886796,4.75,5.395705362937858,0.0005520839854153824,0.00020176570389172414,0.006184347032988165,0.006528294484316933,3.997550000000003,2.9926510598112683,3.8,1.4725559590832464
0.1,0.2,0.01,20,1.2911600000000005,0.7626417455135805,4.253130000000004,2.119919166160033,8.050850000000006,1.4966419701592302,5.5,5.734510910671928,0.0005549590615008075,0.00018653859103663926,0.008032189043394528,0.006481870700647783,4.5247500000000045,2.7687982168784897,3.8,1.4725559590832464
0.1,0.4,0.0,20,3.9785820000000016,2.561407219568753,5.289468000000008,1.1702062980949355,7.430950000000007,1.9528681599124904,0.0,0.0,0.00011480675674658401,0.0001982090070017542,0.0006597147335509734,0.0002125048658966706,5.096450000000007,0.1168415368644301,58.94736842105263,61.98967089963951
0.1,0.4,0.001,20,1.2207600000000014,0.7102788291635171,2.952606000000003,1.7287869961772608,6.182150000000006,1.5635225167954323,6.428571428571429,5.258169990438845,0.0005388279824195374,0.00014612846876742191,0.007033538184478108,0.006188942686900067,2.9099000000000017,2.1486671241786937,9.4,5.660574640719606
0.1,0.4,0.003,20,1.2444100000000007,0.7109133028051068,3.1561270000000037,1.6434154589086765,6.077850000000006,1.6011203404918855,9.071428571428571,10.25418703010393,0.0005204207698566774,0.00015243128937511075,0.0066594581594548365,0.006155535604351992,3.091350000000001,2.082984657067586,9.75,5.618344015248995
0.1,0.4,0.005,20,1.2598800000000006,0.743594044312381,3.2853150000000033,1.7460720030957353,6.3924500000000055,1.7231449667151624,5.166666666666667,4.468746688915917,0.0005520839854153824,0.00020176570389172414,0.0060794964582013954,0.006374687055415094,3.0640000000000023,2.00674182117235,9.6,5.825533632660888
0.1,0.4,0.01,20,1.2911600000000005,0.7626417455135805,3.305403000000003,1.3901282384809381,6.483400000000006,1.4351979287669152,14.2,22.104298224553528,0.0005549590615008075,0.00018653859103663926,0.007854889156467922,0.006365533368891914,3.555000000000004,1.971521133274351,9.85,5.101857246966152
0.1,0.6,0.0,20,3.7793610000000015,2.629186237590591,3.8505790000000077,0.7406371076018562,5.526250000000006,1.379874207653494,36.90909090909091,84.36877923195826,0.00011480675674658401,0.0001982090070017542,0.0006784388205469424,0.00021205414844901663,3.8976000000000064,0.0888756671453234,47.4375,39.82288914682108
0.1,0.6,0.001,20,1.2207600000000014,0.7102788291635171,2.395565000000002,1.142714923142992,5.713050000000002,1.6291920979753325,5.857142857142857,4.959173982974039,0.0005388279824195374,0.00014612846876742191,0.006940050017495607,0.0061469362070423516,2.4082500000000038,1.6001930763439047,12.85,8.96352256884007
0.1,0.6,0.003,20,1.2444100000000007,0.7109133028051068,2.5862620000000027,1.0471466770007407,5.609900000000005,1.6527045744858067,8.714285714285714,10.417651968052711,0.0005204207698566774,0.00015243128937511075,0.006541330218192342,0.006143778663597577,2.5565500000000028,1.548619571203919,13.45,8.976431127651662
0.1,0.6,0.005,20,1.2598800000000006,0.743594044312381,2.673666000000003,1.1473728990148295,5.902050000000005,1.9241273750100731,5.583333333333333,4.481443219916251,0.0005520839854153824,0.00020176570389172414,0.006022613716850396,0.006328233951235759,2.534050000000004,1.4631807268665415,13.35,9.432725787887279
0.1,0.6,0.01,20,1.2911600000000005,0.7626417455135805,2.758003000000003,0.9466945671017686,5.568250000000003,1.9185082712467285,14.266666666666667,16.3378030813145,0.0005549590615008075,0.00018653859103663926,0.007792687588140747,0.0063797802058214795,2.968200000000004,1.5110938039084598,13.25,7.8396764165231625
0.3,0.0,0.0,20,5.013309999999997,2.4259796550758814,10.35659200000001,2.9598869600634576,12.358200000000007,2.6064106514919176,0.0,0.0,6.325230108578251e-05,9.936628615336471e-05,0.0004186288653898306,7.390115189344565e-05,12.19025000000001,0.19120170528858418,1.0,0.0
0.3,0.0,0.001,20,1.364750000000002,0.76386584624045,6.072970000000008,3.4306772928879297,10.155250000000006,2.299782252278405,5.666666666666667,7.4018834621924965,0.0005518957146920106,0.0001673973757374595,0.006861860879480816,0.006779644634800715,6.490400000000008,4.57484213590164,1.0,0.0
0.3,0.0,0.003,20,1.3882100000000022,0.7618508639111152,5.880315000000006,3.7795170118771058,10.563200000000005,1.6694679455001935,4.916666666666667,6.5151338970868204,0.0005366649797952736,0.00017296682011992158,0.007654887783702939,0.006813783819486451,5.723750000000006,4.711629664150751,1.0,0.0
0.3,0.0,0.005,20,1.3629600000000017,0.7825236652886927,6.474312000000007,4.054909333273617,10.738350000000008,1.7288432480464468,5.090909090909091,6.803742285750475,0.0005118682497913622,0.0001627860673813096,0.006990072164140715,0.00682218128486945,6.550100000000006,5.054196160773636,1.0,0.0
0.3,0.0,0.01,20,1.3640100000000026,0.8123305769269884,6.945074000000007,4.025080163386619,11.220200000000009,1.1756176696797112,6.444444444444445,7.333333333333333,0.0004885181228307107,0.00016109222197510499,0.007398504393151701,0.006565890690186664,6.947600000000006,5.135717091322817,1.0,0.0
0.3,0.2,0.0,20,4.816236999999997,2.457351376226676,6.840778000000009,1.846663995424125,8.799200000000008,2.6525816342415913,0.0,0.0,6.325230108578251e-05,9.936628615336471e-05,0.0005324779659545201,0.00016994020282988826,7.290050000000011,0.12750169245522908,17.3,21.645711864137503
0.3,0.2,0.001,20,1.364750000000002,0.76386584624045,4.534736000000008,2.2347106428453616,7.8369500000000105,2.1879780013086343,22.46153846153846,57.353604049230405,0.0005518957146920106,0.0001673973757374595,0.0066028345650465765,0.006490866011910847,4.539250000000008,2.7392005148448573,3.5,1.4327007988227578
0.3,0.2,0.003,20,1.3882100000000022,0.7618508639111152,4.406572000000006,2.531941999496999,8.418250000000006,1.7150242556210162,5.833333333333333,6.350852961085884,0.0005366649797952736,0.00017296682011992158,0.007428943191355232,0.006553147789117737,3.994450000000005,2.7854593210002894,3.45,1.5719582155957417
0.3,0.2,0.005,20,1.3629600000000017,0.7825236652886927,4.689462000000007,2.6164945835855753,8.322700000000008,1.6179769727071291,6.0,6.6332495807108,0.0005118682497913622,0.0001627860673813096,0.006780077543931849,0.006546305440185182,4.399100000000008,2.9511536174323814,3.75,1.51744244666721
